SettlementDate,Time,Demand
2/1/2022,0:00:00,25232
2/1/2022,0:05:00,25363
2/1/2022,0:10:00,25400
2/1/2022,0:15:00,25529
2/1/2022,0:20:00,25531
2/1/2022,0:25:00,25613
2/1/2022,0:30:00,25674
2/1/2022,0:35:00,25781
2/1/2022,0:40:00,25846
2/1/2022,0:45:00,25872
2/1/2022,0:50:00,25918
2/1/2022,0:55:00,26093
2/1/2022,1:00:00,26152
2/1/2022,1:05:00,26136
2/1/2022,1:10:00,26136
2/1/2022,1:15:00,26290
2/1/2022,1:20:00,26325
2/1/2022,1:25:00,26369
2/1/2022,1:30:00,26277
2/1/2022,1:35:00,26070
2/1/2022,1:40:00,25974
2/1/2022,1:45:00,25922
2/1/2022,1:50:00,26024
2/1/2022,1:55:00,26100
2/1/2022,2:00:00,26145
2/1/2022,2:05:00,26160
2/1/2022,2:10:00,26101
2/1/2022,2:15:00,26111
2/1/2022,2:20:00,26177
2/1/2022,2:25:00,26133
2/1/2022,2:30:00,26261
2/1/2022,2:35:00,26293
2/1/2022,2:40:00,26177
2/1/2022,2:45:00,26225
2/1/2022,2:50:00,26207
2/1/2022,2:55:00,26102
2/1/2022,3:00:00,25943
2/1/2022,3:05:00,25863
2/1/2022,3:10:00,25915
2/1/2022,3:15:00,25840
2/1/2022,3:20:00,25782
2/1/2022,3:25:00,25761
2/1/2022,3:30:00,25747
2/1/2022,3:35:00,25762
2/1/2022,3:40:00,25768
2/1/2022,3:45:00,25726
2/1/2022,3:50:00,25685
2/1/2022,3:55:00,25680
2/1/2022,4:00:00,25785
2/1/2022,4:05:00,26069
2/1/2022,4:10:00,26118
2/1/2022,4:15:00,26167
2/1/2022,4:20:00,26183
2/1/2022,4:25:00,26115
2/1/2022,4:30:00,26048
2/1/2022,4:35:00,25948
2/1/2022,4:40:00,25983
2/1/2022,4:45:00,26024
2/1/2022,4:50:00,26092
2/1/2022,4:55:00,26154
2/1/2022,5:00:00,26120
2/1/2022,5:05:00,25939
2/1/2022,5:10:00,25945
2/1/2022,5:15:00,25971
2/1/2022,5:20:00,25984
2/1/2022,5:25:00,25915
2/1/2022,5:30:00,25948
2/1/2022,5:35:00,26176
2/1/2022,5:40:00,26286
2/1/2022,5:45:00,26439
2/1/2022,5:50:00,26671
2/1/2022,5:55:00,26853
2/1/2022,6:00:00,26977
2/1/2022,6:05:00,27313
2/1/2022,6:10:00,27805
2/1/2022,6:15:00,28230
2/1/2022,6:20:00,28577
2/1/2022,6:25:00,28808
2/1/2022,6:30:00,29134
2/1/2022,6:35:00,29558
2/1/2022,6:40:00,30146
2/1/2022,6:45:00,30782
2/1/2022,6:50:00,31136
2/1/2022,6:55:00,31446
2/1/2022,7:00:00,31878
