ticker_symbol,day_date,close_value,open_value,high_value,low_value
AAPL,5/29/2020,317.94,319.25,321.15,316.47
AAPL,5/28/2020,318.25,316.77,323.44,315.63
AAPL,5/27/2020,318.11,316.14,318.71,313.09
AAPL,5/26/2020,316.73,323.5,324.24,316.5
AAPL,5/22/2020,318.89,315.77,319.23,315.35
AAPL,5/21/2020,316.85,318.66,320.89,315.87
AAPL,5/20/2020,319.23,316.68,319.52,316.2
AAPL,5/19/2020,313.14,315.03,318.52,313.01
AAPL,5/18/2020,314.96,313.17,316.5,310.3241
AAPL,5/15/2020,307.71,300.35,307.9,300.21
AAPL,5/14/2020,309.54,304.51,309.79,301.53
AAPL,5/13/2020,307.65,312.15,315.95,303.21
AAPL,5/12/2020,311.41,317.83,319.688,310.91
AAPL,5/11/2020,315.01,308.1,317.05,307.24
AAPL,5/8/2020,310.13,305.64,310.35,304.29
AAPL,5/7/2020,303.74,303.22,305.17,301.97
AAPL,5/6/2020,300.63,300.46,303.24,298.87
AAPL,5/5/2020,297.56,295.06,301,294.46
AAPL,5/4/2020,293.16,289.17,293.69,286.3172
AAPL,5/1/2020,289.07,286.25,299,285.85
AAPL,4/30/2020,293.8,289.96,294.53,288.35
AAPL,4/29/2020,287.73,284.73,289.67,283.89
AAPL,4/28/2020,278.58,285.08,285.83,278.2
AAPL,4/27/2020,283.17,281.8,284.54,279.95
AAPL,4/24/2020,282.97,277.2,283.01,277
AAPL,4/23/2020,275.03,275.87,281.75,274.87
AAPL,4/22/2020,276.1,273.61,277.9,272.2
AAPL,4/21/2020,268.37,276.28,277.25,265.43
AAPL,4/20/2020,276.93,277.95,281.68,276.85
AAPL,4/17/2020,282.8,284.69,286.945,276.86
AAPL,4/16/2020,286.69,287.38,288.1975,282.3502
AAPL,4/15/2020,284.43,282.4,286.33,280.63
AAPL,4/14/2020,287.05,280,288.25,278.05
AAPL,4/13/2020,273.25,268.31,273.7,265.83
AAPL,4/9/2020,267.99,268.7,270.07,264.7
AAPL,4/8/2020,266.07,262.74,267.37,261.23
AAPL,4/7/2020,259.43,270.8,271.7,259
AAPL,4/6/2020,262.47,250.9,263.11,249.38
AAPL,4/3/2020,241.41,242.8,245.7,238.9741
AAPL,4/2/2020,244.93,240.34,245.15,236.9
AAPL,4/1/2020,240.91,246.5,248.72,239.13
AAPL,3/31/2020,254.29,255.6,262.49,252
AAPL,3/30/2020,254.81,250.74,255.52,249.4
AAPL,3/27/2020,247.74,252.75,255.87,247.05
AAPL,3/26/2020,258.44,246.52,258.68,246.36
AAPL,3/25/2020,245.52,250.75,258.25,244.3
AAPL,3/24/2020,246.88,236.36,247.69,234.3
AAPL,3/23/2020,224.37,228.08,228.4997,212.61
AAPL,3/20/2020,229.24,247.18,251.83,228
AAPL,3/19/2020,244.78,247.385,252.84,242.61
AAPL,3/18/2020,246.67,239.77,250,237.12
AAPL,3/17/2020,252.86,247.51,257.61,238.4
